category_id,parent_id,name,description,is_active,level,image
3314,274,May  Shorts From 9pp,May  Shorts From 9pp,1,3,
3315,274,May  Sweaters from 9pp,May  Sweaters from 9pp,1,3,
3316,274,May  T-Shirts Under 9per,May  T-Shirts Under 9per,1,3,
3317,274,May  accessories Under 9pp,May  accessories Under 9pp,1,3,
3318,274,May  sweat pants from 9pp,May  sweat pants from 9pp,1,3,
3319,274,May  t-Shirts Under 9per,May  t-Shirts Under 9per,1,3,
3320,274,May2  T-Shirts Under 9per,May2  T-Shirts Under 9per,1,3,
3321,274,May2 accessories Under 9pp,May2 accessories Under 9pp,1,3,
3322,274,May  30per,May  30per,1,3,
3323,274,May  40per,May  40per,1,3,
3324,274,May  50per,May  50per,1,3,
3325,274,May  60per,May  60per,1,3,
3326,274,May  65per,May  65per,1,3,
3327,274,May  70per,May  70per,1,3,
3328,274,May  75per,May  75per,1,3,
3329,274,May  80per,May  80per,1,3,
3330,274,May  50per,May  50per,1,3,
3331,274,May  60per,May  60per,1,3,
3332,274,May  70per,May  70per,1,3,
3333,274,May  80per,May  80per,1,3,
3334,274,May  85per,May  85per,1,3,
3335,274,May  30per,May  30per,1,3,
3336,274,May  40per,May  40per,1,3,
3337,274,May  50per,May  50per,1,3,
3338,274,May  60per,May  60per,1,3,
3339,274,May  65per,May  65per,1,3,
3340,274,May  70per,May  70per,1,3,
3341,274,May  75per,May  75per,1,3,
3342,274,May wk19 Raw Blue Headwearpp,May wk19 Raw Blue Headwearpp,1,3,
3343,274,May wk19 Raw Blue Shoespp,May wk19 Raw Blue Shoespp,1,3,
3344,274,May wk19 UC ladiespp,May wk19 UC ladiespp,1,3,
3345,274,May wk19 hot hoodiespp,May wk19 hot hoodiespp,1,3,
3346,274,May wk19 tees under 15pp,May wk19 tees under 15pp,1,3,
3347,274,May  10per,May  10per,1,3,
3348,274,May  20per,May  20per,1,3,
3349,274,May  30per,May  30per,1,3,
3350,274,May  40per,May  40per,1,3,
3351,274,May  50per,May  50per,1,3,
3352,274,May  60per,May  60per,1,3,
3353,274,May  65per,May  65per,1,3,
3354,274,May  70per,May  70per,1,3,
3355,274,May  75per,May  75per,1,3,
3356,274,May  80per,May  80per,1,3,
3357,274,May  85per,May  85per,1,3,
3358,274,checked All,checked,1,3,
3359,274,May  20per,May  20per,1,3,
3360,274,May  30per,May  30per,1,3,
3361,274,May  40per,May  40per,1,3,
3362,274,May  50per,May  50per,1,3,
3363,274,May  60per,May  60per,1,3,
3364,274,May  70per,May  70per,1,3,
3365,274,May  75per,May  75per,1,3,
3366,274,May  80per,May  80per,1,3,
3367,274,checked All,checked,1,3,
3368,274,May  flash shoes pp,May  flash shoes pp,1,3,
3369,274,May  cultz slowpp,May  cultz slowpp,1,3,
3370,274,checked All,checked,1,3,
3371,274,May  20per,May  20per,1,3,
3372,274,May  30per,May  30per,1,3,
3373,274,May  40per,May  40per,1,3,
3374,274,May  50per,May  50per,1,3,
3375,274,May  60per,May  60per,1,3,
3376,274,May  70per,May  70per,1,3,
3377,274,May  80per,May  80per,1,3,
3378,274,May  85per,May  85per,1,3,
3379,274,May  jeanspp,May  jeanspp,1,3,
3380,274,May  raw bluepp,May  raw bluepp,1,3,
3381,274,May  royal bluepp,May  royal bluepp,1,3,
3384,274,May  5pp,May  5pp,1,3,
3385,274,May  10pp,May  10pp,1,3,
3386,274,May  15pp,May  15pp,1,3,
3387,274,May  20pp,May  20pp,1,3,
3388,274,May  25pp,May  25pp,1,3,
3389,274,May  30pp,May  30pp,1,3,
3390,274,May  40pp,May  40pp,1,3,
3391,274,May  50pp,May  50pp,1,3,
3392,274,May  51pp,May  51pp,1,3,
3393,274,May  mid season allpp,May  mid season allpp,1,3,
3394,274,May  60per,May  60per,1,3,
3395,274,May  70per,May  70per,1,3,
3396,274,May  75per,May  75per,1,3,
3397,274,May  80per,May  80per,1,3,
3398,274,May  85per,May  85per,1,3,
3399,274,May  20per,May  20per,1,3,
3400,274,May  30per,May  30per,1,3,
3401,274,May  40per,May  40per,1,3,
3402,274,May  50per,May  50per,1,3,
3403,274,May  60per,May  60per,1,3,
3404,274,May  70per,May  70per,1,3,
3405,274,May  80per,May  80per,1,3,
3406,274,May  85per,May  85per,1,3,
3407,274,May  Sweat pants dealpp,May  Sweat pants dealpp,1,3,
3408,274,May  5pp,May  5pp,1,3,
3409,274,May  10pp,May  10pp,1,3,
3410,274,May  15pp,May  15pp,1,3,
3411,274,May  20pp,May  20pp,1,3,
3412,274,May  25pp,May  25pp,1,3,
3413,274,May  30pp,May  30pp,1,3,
3414,274,May  40pp,May  40pp,1,3,
3415,274,May  50pp,May  50pp,1,3,
3416,274,May  51pp,May  51pp,1,3,
3417,274,May  Big  Sale Allpp,May  Big  Sale Allpp,1,3,
3418,274,Jun  T-shirtsper,Jun  T-shirtsper,1,3,
3419,274,Jun  YLDpp,Jun  YLDpp,1,3,
3420,274,Jun  shoespp,Jun  shoespp,1,3,
3421,274,Jun  40per,Jun  40per,1,3,
3422,274,Jun  50per,Jun  50per,1,3,
3423,274,Jun  60per,Jun  60per,1,3,
3424,274,Jun  70per,Jun  70per,1,3,
3425,274,Jun  75per,Jun  75per,1,3,
3426,274,Jun  80per,Jun  80per,1,3,
3427,274,Jun  85per,Jun  85per,1,3,
3428,274,Jun  crazy dealpp,Jun  crazy dealpp,1,3,
3429,274,Jun  10per,Jun  10per,1,3,
3430,274,Jun  20per,Jun  20per,1,3,
3431,274,Jun  30per,Jun  30per,1,3,
3432,274,Jun  40per,Jun  40per,1,3,
3433,274,Jun  50per,Jun  50per,1,3,
3434,274,Jun  60per,Jun  60per,1,3,
3435,274,Jun  65per,Jun  65per,1,3,
3436,274,Jun  70per,Jun  70per,1,3,
3437,274,Jun  75per,Jun  75per,1,3,
3438,274,Jun  80per,Jun  80per,1,3,
3439,274,Jun  85per,Jun  85per,1,3,
3440,274,Jun  10per,Jun  10per,1,3,
3441,274,Jun  20per,Jun  20per,1,3,
3442,274,Jun  30per,Jun  30per,1,3,
3443,274,Jun  40per,Jun  40per,1,3,
3444,274,Jun  50per,Jun  50per,1,3,
3445,274,Jun  60per,Jun  60per,1,3,
3446,274,Jun  65per,Jun  65per,1,3,
3447,274,Jun  70per,Jun  70per,1,3,
3448,274,Jun  75per,Jun  75per,1,3,
3449,274,Jun  80per,Jun  80per,1,3,
3450,274,Jun  85per,Jun  85per,1,3,
3451,274,checked All,checked,1,3,
3452,274,Jun  Shoes 15pp,Jun  Shoes 15pp,1,3,
3453,274,Jun  Shoes 20pp,Jun  Shoes 20pp,1,3,
3454,274,Jun  Shoes 25pp,Jun  Shoes 25pp,1,3,
3455,274,Jun  caps 10pp,Jun  caps 10pp,1,3,
3456,274,Jun  caps 5pp,Jun  caps 5pp,1,3,
3457,274,Jun  caps 7pp,Jun  caps 7pp,1,3,
3458,274,Jun  shorts 10pp,Jun  shorts 10pp,1,3,
3459,274,Jun  shorts 15pp,Jun  shorts 15pp,1,3,
3460,274,Jun  shorts 20pp,Jun  shorts 20pp,1,3,
3461,274,Jun  sunglasses 10pp,Jun  sunglasses 10pp,1,3,
3462,274,Jun  sunglasses 5pp,Jun  sunglasses 5pp,1,3,
3463,274,Jun  sunglasses 7pp,Jun  sunglasses 7pp,1,3,
3464,274,Jun  tees 10pp,Jun  tees 10pp,1,3,
3465,274,Jun  tees 15pp,Jun  tees 15pp,1,3,
3466,274,Jun  tees 7pp,Jun  tees 7pp,1,3,
3467,274,Jun  underpantspp,Jun  underpantspp,1,3,
3468,274,Jun  allpp,Jun  allpp,1,3,
3469,274,Jun  caps pp,Jun  caps pp,1,3,
3470,274,Jun  shoespp,Jun  shoespp,1,3,
3471,274,Jun  shortspp,Jun  shortspp,1,3,
3472,274,Jun  sunglassespp,Jun  sunglassespp,1,3,
3473,274,Jun  tees  pp,Jun  tees  pp,1,3,
3474,274,Jun  underpantspp,Jun  underpantspp,1,3,
3475,274,Jun  shoes1pp,Jun  shoes1pp,1,3,
3476,274,Jun  tees1 pp,Jun  tees1 pp,1,3,
3477,274,Jun  euro 2016pp,Jun  euro 2016pp,1,3,
3478,274,Jun  10per,Jun  10per,1,3,
3479,274,Jun  20per,Jun  20per,1,3,
3480,274,Jun  28per,Jun  28per,1,3,
3481,274,Jun  30per,Jun  30per,1,3,
3482,274,Jun  40per,Jun  40per,1,3,
3483,274,Jun  50per,Jun  50per,1,3,
3484,274,Jun  60per,Jun  60per,1,3,
3485,274,Jun  65per,Jun  65per,1,3,
3486,274,Jun  70per,Jun  70per,1,3,
