category_id,products_id
9,114797
9,32415
9,32416
9,32417
9,33557
9,33596
9,33597
9,33598
9,33599
9,33600
9,33601
9,33602
9,53025
9,53074
9,53097
9,54065
9,54066
9,69984
9,70119
9,70997
9,71188
9,71420
9,71633
9,71713
9,72691
9,73372
9,73788
9,73964
9,74013
9,74144
9,75202
9,75750
9,75934
9,76290
9,76486
9,77303
9,77628
9,78231
9,78848
9,79027
9,79264
9,79431
9,79644
9,79705
9,79726
9,79926
9,80195
9,80935
9,81419
9,81509
9,81649
9,82176
9,82627
9,89711
9,89712
9,89722
9,89723
9,97965
9,97966
9,97967
9,97968
9,97969
9,97971
9,97972
9,97973
9,97974
9,108693
9,109197
9,109787
9,109789
9,114799
9,114800
9,114801
9,114805
9,114809
9,114811
9,115028
9,116416
9,116417
9,116418
9,116419
9,116420
9,116421
9,116422
9,116423
9,116424
9,116425
9,116426
9,116427
9,116429
9,116431
9,116433
9,116434
9,116435
9,116477
9,116478
9,116479
9,116480
9,116481
9,116482
9,116483
9,116484
9,116485
9,116832
9,116839
9,116846
9,116854
9,116855
9,116860
9,116861
9,116873
9,116880
9,116887
9,116980
9,118369
9,124329
9,124403
9,124654
9,130780
9,130813
9,130849
9,130853
9,130960
9,130972
9,137146
9,137147
9,149811
9,149812
9,149813
9,149814
9,149815
9,149820
9,149821
9,149822
9,149823
9,150425
9,158779
9,158780
9,158781
9,158782
9,158783
9,158784
9,158795
9,162206
9,162207
9,162208
9,162209
9,162210
9,162219
9,162220
9,162221
9,162222
9,162223
9,162224
9,162225
9,162226
9,162227
9,162228
9,162229
9,162230
9,162231
9,162232
9,162233
9,162234
9,162235
9,162236
9,162237
9,162238
9,162239
9,162240
9,162241
9,162242
9,162243
9,162244
9,162247
9,162248
9,162251
9,162254
9,162255
9,162256
9,162258
9,162262
9,162265
9,162266
9,162268
9,162269
9,162271
9,162272
9,162273
9,162289
9,162310
9,169367
9,169368
9,169369
9,169664
9,169665
9,171826
9,171827
9,171828
9,171829
9,171830
9,171831
9,171832
9,171833
9,171834
9,171835
9,171836
9,171837
9,171838
9,171839
9,171840
9,171841
9,171939
9,171940
9,171941
9,171942
9,171943
9,171944
9,171945
9,171946
9,172209
9,172211
9,172213
9,172215
9,173381
9,173382
9,173383
9,173384
9,173389
9,173390
9,174805
9,183796
9,183797
9,183798
9,183799
9,183800
9,184245
9,184246
9,184247
9,184248
9,184249
9,184250
9,184251
9,184252
9,184254
9,186765
9,186792
9,186793
9,186795
9,186810
9,186829
9,186833
9,186834
9,186837
9,186838
9,186839
9,186840
9,186846
9,186847
9,186848
9,186849
9,186850
9,186854
9,186855
9,186950
9,186951
9,186952
9,186953
9,186960
9,186961
9,186962
9,186963
9,186964
9,186967
9,186968
9,186969
9,186970
9,186971
9,186972
9,186973
9,186974
9,186975
9,186976
9,186977
9,186978
9,186982
9,186984
9,186985
9,186986
9,186987
9,186988
9,186989
9,186990
9,186991
9,186992
9,186993
9,186994
9,186995
9,186996
9,186997
9,186998
9,186999
9,187000
9,187001
9,187002
9,187003
9,187004
9,187005
9,187006
9,187007
9,187008
9,187009
9,187010
9,187011
9,187024
9,187025
9,187026
9,187027
9,187028
9,187029
9,187030
9,187031
9,187032
