product_id,type,sku,name,ean,description,price,special_price,special_from_date,special_to_date,url_key,image,color,weight,set,size
114797,simple,120786,KMA Goggle Shades,,KMA Goggle Shades,9999.0000,,,,kma-goggle-shades,,,1.0000,23,
32415,simple,107291_20__,Thunder Design Pink Small Round Pink,,Thunder Design Pink Small Round Pink,0.0000,,,,thunder-design-pink-small-round-pink,,106,1.0000,23,
32416,simple,107293_24__,White Round Lens White,,White Round Lens White,0.0000,,,,white-round-lens-white,,102,1.0000,23,
32417,simple,107315_21__,Metallic Silver Wayfarer Silver,,Metallic Silver Wayfarer Silver,0.0000,,,,metallic-silver-wayfarer-silver,,105,1.0000,23,
33557,simple,112775_22__,Black Wayfarer with Red Top Black,,Black Wayfarer with Red Top Black,0.0000,,,,black-wayfarer-with-red-top-black,,104,1.0000,23,
33596,simple,112818_24__,Groove Shades RS White,,Groove Shades RS,49.0000,,,,groove-shades-rs-white,,102,1.0000,23,
33597,simple,112820_13__,Groove Shades Single Purple,,Groove Shades Single Purple,49.0000,,,,groove-shades-single-purple,,113,1.0000,23,
33598,simple,112821_19__,Groove Shades Single Red,,Groove Shades Single Red,49.0000,,,,groove-shades-single-red,,107,1.0000,23,
33599,simple,112822_8__,Groove Shades Single Green,,Groove Shades Single Green,0.0000,,,,groove-shades-single-green,,118,1.0000,23,
33600,simple,112823_9__,Groove Shades Single Yellow,,Groove Shades Single Yellow,49.0000,,,,groove-shades-single-yellow,,117,1.0000,23,
33601,simple,112825_20__,Groove Shades Single Pink,,Groove Shades Single Pink,49.0000,,,,groove-shades-single-pink,,106,1.0000,23,
33602,simple,112829_9__,Groove Shades GStwo Yellow,,Groove Shades GStwo,0.0000,,,,groove-shades-gstwo-yellow,,117,1.0000,23,
53025,simple,106972_20__,Half Lens Pink Shutter Shades Pink,,Half Lens Pink Shutter Shades,0.0000,,,,half-lens-pink-shutter-shades-pink,,106,1.0000,23,
53074,simple,107282_22__,All Black Grill Lens Black,,All Black Grill Lens Black,0.0000,,,,all-black-grill-lens-black,,104,1.0000,23,
53097,simple,107310_17__,Thunder Design Orange Small Round Orange,,Thunder Design Orange Small Round,0.0000,,,,thunder-design-orange-small-round-orange,,109,1.0000,23,
54065,simple,112773_22__,Black Wayfarer with White Top Black,,Black Wayfarer with White Top,0.0000,,,,black-wayfarer-with-white-top-black,,104,1.0000,23,
54066,simple,112774_22__,Black Wayfarer with Pink Top Black,,Black Wayfarer with Pink Top,0.0000,,,,black-wayfarer-with-pink-top-black,,104,1.0000,23,
69984,simple,117515_22__,SG72 Black Black,,SG72 Black,0.0000,,,,sg72-black-black,,104,1.0000,23,
70119,simple,117523_2__,SG205 Blue/Green Blue/Green,,SG205 Blue/Green,0.0000,,,,sg205-blue-green-blue-green,,19,1.0000,23,
70997,simple,117549_24__,Silver Brass Bar White/Silver,,Silver Brass Bar,0.0000,,,,silver-brass-bar-white-silver,,102,1.0000,23,
71188,simple,117533_20__,Clear Lens Super Nerd Pink,,Clear Lens Super Nerd,0.0000,,,,clear-lens-super-nerd-pink,,106,1.0000,23,
71420,simple,117516_22__,SG554 Black/Pink Black/Pink,,SG554 Black/Pink,0.0000,,,,sg554-black-pink-black-pink,,104,1.0000,23,
71633,simple,117539_19__,Clear Lens Paparazzi Shield Red,,Clear Lens Paparazzi Shield Red,0.0000,,,,clear-lens-paparazzi-shield-red,,107,1.0000,23,
71713,simple,117514_22__,Black Plastic Aviator Black,,Black Plastic Aviator,0.0000,,,,black-plastic-aviator-black,,104,1.0000,23,
72691,simple,117543_24__,Clear Lens Rectangular all White,,Clear Lens Rectangular all White,0.0000,,,,clear-lens-rectangular-all-white-xxx-bild-white,,102,1.0000,23,
73372,simple,117513_22__,Clear Over Size Lens Black,,Clear Over Size Lens,0.0000,,,,clear-over-size-lens-black,,104,1.0000,23,
73788,simple,117519_22__,Lens Silver Spring Temple Black/Silver,,Lens Silver Spring Temple Black/Silver,0.0000,,,,lens-silver-spring-temple-black-silver,,104,1.0000,23,
73964,simple,117538_19__,Clear lens Red Plastic Frame Sunglasses Red,,Clear lens Red Plastic Frame Sunglasses,0.0000,,,,clear-lens-red-plastic-frame-sunglasses-red,,107,1.0000,23,
74013,simple,117537_15__,Rainbow Clear Lens Rainbow,,Rainbow Clear Lens,0.0000,,,,rainbow-clear-lens-rainbow,,117,1.0000,23,
74144,simple,117550_9__,Glow in the Dark Yellow Clear Lens Yellow,,Glow in the Dark Yellow Clear Lens,0.0000,,,,glow-in-the-dark-yellow-clear-lens-yellow,,117,1.0000,23,
75202,simple,117529_14__,Clear Lens Super Nerd Lime Green,,Clear Lens Super Nerd,0.0000,,,,clear-lens-super-nerd-lime-green,,112,1.0000,23,
75750,simple,117540_19__,Clear Lens Red Frame Red/Black,,Clear Lens Red Frame,0.0000,,,,clear-lens-red-frame-red-black,,107,1.0000,23,
75934,simple,117532_2__,Clear Lens Super Nerd Periwinkle Blue,,Clear Lens Super Nerd,0.0000,,,,clear-lens-super-nerd-periwinkle-blue,,19,1.0000,23,
76290,simple,117527_8__,Clear Lens Paparazzi Shield Green,,Clear Lens Paparazzi Shield Green,0.0000,,,,clear-lens-paparazzi-shield-green,,118,1.0000,23,
76486,simple,117542_24__,Vintage Wayfarer Style Sunglasses White,,Vintage Wayfarer Style Sunglasses White,0.0000,,,,vintage-wayfarer-style-sunglasses-white,,102,1.0000,23,
77303,simple,117536_20__,Silver Brass Bar Pink/Silver,,Silver Brass Bar,0.0000,,,,silver-brass-bar-pink-silver,,106,1.0000,23,
77628,simple,117509_22__,Black With Metal Bottom Rim Black,,Black With Metal Bottom Rim,0.0000,,,,black-with-metal-bottom-rim-black,,104,1.0000,23,
78231,simple,117535_20__,Glasses Pink,,Glasses,0.0000,,,,glasses-pink,,106,1.0000,23,
78848,simple,117545_24__,Mental Corners White,,Mental Corners,0.0000,,,,mental-corners-white,,102,1.0000,23,
79027,simple,117547_24__,White Wayfarer With Black Top White/Black,,White Wayfarer With Black Top,0.0000,,,,white-wayfarer-with-black-top-white-black,,102,1.0000,23,
79264,simple,117522_2__,Lady GAGA Shades Blue,,Lady GAGA Shades,0.0000,,,,lady-gaga-shades-blue,,19,1.0000,23,
79431,simple,117528_8__,Lady GAGA Shades Green,,Lady GAGA Shades,0.0000,,,,lady-gaga-shades-green,,118,1.0000,23,
79644,simple,117551_9__,Clear Lens Paparazzi Shield Yellow,,Clear Lens Paparazzi Shield,0.0000,,,,clear-lens-paparazzi-shield-yellow,,117,1.0000,23,
79705,simple,117525_10__,SG208GD/BKSpring Gold/Black,,SG208GD/BKSpring,0.0000,,,,sg208gd-bkspring-gold-black,,116,1.0000,23,
79726,simple,117524_10__,Lady GAGA,,Lady GAGA,0.0000,,,,lady-gaga,,116,1.0000,23,
79926,simple,117512_22__,Mental Corners Black,,Mental Corners,0.0000,,,,mental-corners-black,,104,1.0000,23,
80195,simple,117531_17__,Clear Lens Paparazzi Shield Orange,,Clear Lens Paparazzi Shield,0.0000,,,,clear-lens-paparazzi-shield-orange,,109,1.0000,23,
80935,simple,117510_22__,Clear Lens Blk/Wht Paisley Black,,Clear Lens Blk/Wht Paisley,0.0000,,,,clear-lens-blk-wht-paisley-black,,104,1.0000,23,
81419,simple,117518_22__,Silver Brass Bar Black/Silver,,Silver Brass Bar,0.0000,,,,silver-brass-bar-black-silver,,104,1.0000,23,
81509,simple,117517_22__,SG001 Black/Rasta Black/Rasta,,SG001 Black/Rasta,0.0000,,,,sg001-black-rasta-black-rasta,,104,1.0000,23,
81649,simple,117541_21__,Lady GAGA Shades Silver,,Lady GAGA Shades,0.0000,,,,lady-gaga-shades-silver,,105,1.0000,23,
82176,simple,117546_24__,SG608 White,,SG608 White,0.0000,,,,sg608-white,,102,1.0000,23,
82627,simple,117544_24__,Black Lens Magenta Star Frame White,,Black Lens Magenta Star Frame White,0.0000,,,,black-lens-magenta-star-frame-white,,102,1.0000,23,
89711,simple,112819_22__,Groove Shades Single Black,,Groove Shades Single,99.0000,,,,groove-shades-single-black,,104,1.0000,23,
89712,simple,112824_23__,Groove Shades Single Turquoise,,Groove Shades Single,99.0000,,,,groove-shades-single-turquoise,,103,1.0000,23,
89722,simple,112836_22__,Groove Shades RS Black,,Groove Shades RS,0.0000,,,,groove-shades-rs-black,,104,1.0000,23,
89723,simple,112846_24__,Groove Shades Single White,,Groove Shades Single,99.0000,,,,groove-shades-single-white,,102,1.0000,23,
97965,simple,120169_22__,Zoo Shades Black,,Zoo Shades,0.0000,,,,zoo-shades-black,,104,1.0000,23,
97966,simple,120170_22__,Zoo Shades Black,,Zoo Shades,0.0000,,,,zoo-shades-black-1,,104,1.0000,23,
97967,simple,120171_13__,Zoo Shades Purple,,Zoo Shades,0.0000,,,,zoo-shades-purple,,113,1.0000,23,
97968,simple,120172_24__,Zoo Shades White,,Zoo Shades,0.0000,,,,zoo-shades-white,,102,1.0000,23,
97969,simple,120173_2__,Zoo Shades Blue,,Zoo Shades Blue,0.0000,,,,zoo-shades-blue,,19,1.0000,23,
97971,simple,120175_22__,Zoo Shades Black,,Zoo Shades,0.0000,,,,zoo-shades-black-3,,104,1.0000,23,
97972,simple,120176_22__,Zoo Shades Black,,Zoo Shades,0.0000,,,,zoo-shades-black-4,,104,1.0000,23,
97973,simple,120177_13__,Zoo Shades Purple,,Zoo Shades Purple,0.0000,,,,zoo-shades-purple-1,,113,1.0000,23,
97974,simple,120178_22__,Zoo Shades Black,,Zoo Shades,0.0000,,,,zoo-shades-black-5,,104,1.0000,23,
108693,simple,120364_3__,Tacky Chain Brown,,Tacky Chain Brown,0.0000,,,,tacky-chain-brown,,20,1.0000,23,
109197,simple,120498_24__,Zoo Shades White (Dubbel),,Zoo Shades White,0.0000,,,,zoo-shades-white-1,,102,1.0000,23,
109787,simple,120550_22__,Zoo Shades Black,,Zoo Shades Black,0.0000,,,,zoo-shades-black-8,,104,1.0000,23,
109789,simple,120552_22__,Zoo Shades Black,,Zoo Shades,0.0000,,,,zoo-shades-black-9,,104,1.0000,23,
114799,simple,120788_19__,KMA Goggle Shades Red,,KMA Goggle Shades,9999.0000,,,,kma-goggle-shades-red,,107,1.0000,23,
114800,simple,120789_9__,KMA Goggle Shades Yellow,,KMA Goggle Shades,9999.0000,,,,kma-goggle-shades-yellow,,117,1.0000,23,
114801,simple,120790_20__,KMA Goggle Shades Pink,,KMA Goggle Shades,9999.0000,,,,kma-goggle-shades-pink,,106,1.0000,23,
114805,simple,120794_20__,KMA Racer Shades Pink,,KMA Racer Shades,9999.0000,,,,kma-racer-shades-pink,,106,1.0000,23,
114809,simple,120798_24__,KMA Racer Shades White,,KMA Racer Shades,9999.0000,,,,kma-racer-shades-white-1,,102,1.0000,23,
114811,simple,120800_24__,KMA Racer Shades White,,KMA Racer Shades,9999.0000,,,,kma-racer-shades-white-3,,102,1.0000,23,
115028,simple,120786_13__,KMA Goggle Shades Purple,,KMA Goggle Shades,9999.0000,,,,kma-goggle-shades-purple,,113,1.0000,23,
116416,simple,121056_22__,Black Brown Cat Eye Black,,Black Brown Cat Eye,9999.0000,,,,black-brown-cat-eye-black,,104,1.0000,23,
116417,simple,121055_22__,Black/Metal Corners Black,,Black/Metal Corners,9999.0000,,,,black-metal-corners-black,,104,1.0000,23,
116418,simple,121054_22__,Black Flat Silver Brass Wayfarer Black,,Black Flat Silver Brass Wayfarer,9999.0000,,,,black-flat-silver-brass-wayfarer-black,,104,1.0000,23,
116419,simple,121053_19__,Black/White Checkered Red Wayfarer Red,,Black/White Checkered Red Wayfarer,9999.0000,,,,black-white-checkered-red-wayfarer-red,,107,1.0000,23,
116420,simple,121052_22__,Black/White Checkered Wayfarer Black,,Black/White Checkered Wayfarer,9999.0000,,,,black-white-checkered-wayfarer-black,,104,1.0000,23,
116421,simple,121051_24__,White/Multi Peace Signs White,,White/Multi Peace Signs,9999.0000,,,,white-multi-peace-signs-white,,102,1.0000,23,
116422,simple,121050_19__,Red/Blue Fireburst Pattern Wayfarer Red,,Red/Blue Fireburst Pattern Wayfarer,9999.0000,,,,red-blue-fireburst-pattern-wayfarer-red,,107,1.0000,23,
116423,simple,121049_24__,White/Pink Faces Pattern Wayfarere White,,White/Pink Faces Pattern Wayfarere,9999.0000,,,,white-pink-faces-pattern-wayfarere-white,,102,1.0000,23,
116424,simple,121048_13__,Violet/Fireburst Pattern Wayfarer Purple,,Violet/Fireburst Pattern Wayfarer,9999.0000,,,,violet-fireburst-pattern-wayfarer-purple,,113,1.0000,23,
116425,simple,121047_22__,Multi Argyle Wayfarer Black,,Multi Argyle Wayfarer,9999.0000,,,,multi-argyle-wayfarer-black,,104,1.0000,23,
116426,simple,121046_13__,Purple/Pink Heart Wings Wayfarer Purple,,Purple/Pink Heart Wings Wayfarer,9999.0000,,,,purple-pink-heart-wings-wayfarer-purple,,113,1.0000,23,
116427,simple,121045_19__,I Heart Vampires Wayfarer Red,,I Heart Vampires Wayfarer,9999.0000,,,,i-heart-vampires-wayfarer-red,,107,1.0000,23,
116429,simple,121043_22__,Black Lens Black/Royal Paisley Black,,Black Lens Black/Royal Paisley,9999.0000,,,,black-lens-black-royal-paisley-black,,104,1.0000,23,
116431,simple,121041_3__,Round Clear Lens Tortis Brown,,Round Clear Lens Tortis,9999.0000,,,,round-clear-lens-tortis-brown,,20,1.0000,23,
116433,simple,121039_22__,Black Lens w/ Pink Polka Dots Black,,Black Lens w/ Pink Polka Dots,9999.0000,,,,black-lens-w-pink-polka-dots-black,,104,1.0000,23,
116434,simple,121038_20__,Hot Pink Plastic Aviator Pink,,Hot Pink Plastic Aviator,9999.0000,,,,hot-pink-plastic-aviator-pink,,106,1.0000,23,
116435,simple,121037_3__,Tortis Plastic Aciator Brown,,Tortis Plastic Aciator,9999.0000,,,,tortis-plastic-aciator-brown,,20,1.0000,23,
116477,simple,121065_22__,SG23477 Black Black,,SG23477 Black,9999.0000,,,,sg23477-black-black,,104,1.0000,23,
116478,simple,121064_22__,SG23466 Black Black,,SG23466 Black,9999.0000,,,,sg23466-black-black,,104,1.0000,23,
116479,simple,121063_22__,SG23433 Black Black,,SG23433 Black,9999.0000,,,,sg23433-black-black,,104,1.0000,23,
116480,simple,121062_3__,SG23444 Brown Brown,,SG23444 Brown,9999.0000,,,,sg23444-brown-brown,,20,1.0000,23,
116481,simple,121061_22__,SG23455 Black Black,,SG23455 Black,9999.0000,,,,sg23455-black-black,,104,1.0000,23,
116482,simple,121060_22__,Black/Rasta Jamaican Frame Black,,Black/Rasta Jamaican Frame,9999.0000,,,,black-rasta-jamaican-frame-black,,104,1.0000,23,
116483,simple,121059_22__,Black Square Hip Hop Frame Black,,Black Square Hip Hop Frame,9999.0000,,,,black-square-hip-hop-frame-black,,104,1.0000,23,
116484,simple,121058_24__,Whiter Grater Style Fashion White,,Whiter Grater Style Fashion,9999.0000,,,,whiter-grater-style-fashion-white,,102,1.0000,23,
116485,simple,121057_2__,Tye Dye Half Stone Shutter Shades Blue,,Tye Dye Half Stone Shutter Shades,9999.0000,,,,tye-dye-half-stone-shutter-shades-blue,,19,1.0000,23,
116832,simple,121170_23__,Grooce Shades RS Turquoise,,Grooce Shades RS,9999.0000,,,,grooce-shades-rs-turquoise,,103,1.0000,23,
116839,simple,121168_21__,Grooce Shades RS Silver,,Grooce Shades RS,9999.0000,,,,grooce-shades-rs-silver,,105,1.0000,23,
116846,simple,121166_19__,Grooce Shades RS Red,,Grooce Shades RS,9999.0000,,,,grooce-shades-rs-red,,107,1.0000,23,
