product_id,type,sku,name,ean,description,price,special_price,special_from_date,special_to_date,url_key,image,color,weight,set,size
202911,simple,134087_22__,2-Tone Basic Snapback RBC-919T Black,,2-Tone Basic Snapback RBC-919T,9999.0000,,,,2-tone-basic-snapback-rbc-919t-black-12,,104,1.0000,23,
202912,simple,134086_9__,2-Tone Basic Snapback RBC-919T Yellow,,2-Tone Basic Snapback RBC-919T,9999.0000,,,,2-tone-basic-snapback-rbc-919t-yellow,,117,1.0000,23,
202913,simple,134085_2__,2-Tone Basic Snapback RBC-919T Blue,,2-Tone Basic Snapback RBC-919T,9999.0000,,,,2-tone-basic-snapback-rbc-919t-blue-3,,19,1.0000,23,
202914,simple,134084_7__,2-Tone Basic Snapback RBC-919T Grey,,2-Tone Basic Snapback RBC-919T,9999.0000,,,,2-tone-basic-snapback-rbc-919t-grey-3,,119,1.0000,23,
202915,simple,134083_7__,2-Tone Basic Snapback RBC-919T Grey,,2-Tone Basic Snapback RBC-919T,9999.0000,,,,2-tone-basic-snapback-rbc-919t-grey-6,,119,1.0000,23,
202917,simple,134081_2__,2-Tone Basic Snapback RBC-919T Blue,,2-Tone Basic Snapback RBC-919T,9999.0000,,,,2-tone-basic-snapback-rbc-919t-blue-6,,19,1.0000,23,
202918,simple,134080_23__,2-Tone Basic Snapback RBC-919T Turquoise,,2-Tone Basic Snapback RBC-919T,9999.0000,,,,2-tone-basic-snapback-rbc-919t-turquoise,,103,1.0000,23,
202919,simple,134079_2__,RB Los Angeles Snapback RBC-1531 Blue,,RB Los Angeles Snapback RBC-1531,9999.0000,,,,rb-los-angeles-snapback-rbc-1531-blue,,19,1.0000,23,
202920,simple,134078_9__,RB Los Angeles Snapback RBC-1531 Yellow,,RB Los Angeles Snapback RBC-1531,9999.0000,,,,rb-los-angeles-snapback-rbc-1531-yellow,,117,1.0000,23,
202921,simple,134077_22__,RB Los Angeles Snapback RBC-1531 Black,,RB Los Angeles Snapback RBC-1531,9999.0000,,,,rb-los-angeles-snapback-rbc-1531-black,,104,1.0000,23,
202922,simple,134075_7__,RB Los Angeles Snapback RBC-1531 Grey,,RB Los Angeles Snapback RBC-1531,9999.0000,,,,rb-los-angeles-snapback-rbc-1531-grey,,119,1.0000,23,
202923,simple,134074_13__,RB Los Angeles Snapback RBC-1531 Purple,,RB Los Angeles Snapback RBC-1531,9999.0000,,,,rb-los-angeles-snapback-rbc-1531-purple,,113,1.0000,23,
202924,simple,134073_22__,RB New York Snapback RBC-1531 Black,,RB New York Snapback RBC-1531,9999.0000,,,,rb-new-york-snapback-rbc-1531-black,,104,1.0000,23,
202925,simple,134072_2__,RB New York Snapback RBC-1531 Blue,,RB New York Snapback RBC-1531,9999.0000,,,,rb-new-york-snapback-rbc-1531-blue,,19,1.0000,23,
202926,simple,134071_7__,RB New York Snapback RBC-1531 Grey,,RB New York Snapback RBC-1531,9999.0000,,,,rb-new-york-snapback-rbc-1531-grey,,119,1.0000,23,
202927,simple,134069_22__,RB New York Snapback RBC-1531 Black,,RB New York Snapback RBC-1531,9999.0000,,,,rb-new-york-snapback-rbc-1531-black-3,,104,1.0000,23,
202928,simple,134068_16__,RB New York Snapback Navy,,RB New York Snapback,9999.0000,,,,rb-new-york-snapback-navy,,110,1.0000,23,
