category_id,products_id
8,250201
8,2582
8,2694
8,32293
8,32296
8,32297
8,32298
8,32299
8,32300
8,32301
8,32302
8,32304
8,32305
8,32306
8,32307
8,32308
8,32309
8,32311
8,32312
8,32314
8,32315
8,32316
8,32370
8,32371
8,32372
8,32373
8,32374
8,32411
8,32413
8,32414
8,32438
8,32472
8,32473
8,32492
8,32493
8,32606
8,32616
8,32806
8,33150
8,33151
8,33152
8,33659
8,33660
8,33661
8,34551
8,34559
8,34560
8,34580
8,34581
8,34582
8,34583
8,34584
8,34585
8,34960
8,34961
8,34962
8,34970
8,34971
8,38659
8,38660
8,38661
8,40515
8,40627
8,40744
8,40974
8,40975
8,40976
8,40978
8,41293
8,41295
8,43180
8,43181
8,43182
8,43183
8,43184
8,43185
8,43389
8,43604
8,43605
8,43606
8,43607
8,44023
8,44031
8,44171
8,44172
8,44173
8,44404
8,44405
8,44423
8,44434
8,44435
8,44436
8,44437
8,44439
8,44625
8,44637
8,44711
8,44791
8,50109
8,50110
8,50111
8,50112
8,50113
8,50114
8,50115
8,50116
8,50117
8,50118
8,50119
8,50120
8,50121
8,50122
8,50123
8,50124
8,50125
8,50126
8,50127
8,50128
8,50129
8,50130
8,50131
8,50132
8,50133
8,50134
8,50135
8,50136
8,50137
8,51413
8,51414
8,51415
8,51416
8,51417
8,51418
8,51419
8,51420
8,51421
8,52821
8,53437
8,70006
8,71518
8,71519
8,72342
8,72785
8,72934
8,72935
8,72936
8,73245
8,73551
8,73822
8,74893
8,75668
8,76504
8,77132
8,77164
8,78380
8,78504
8,78550
8,78735
8,79876
8,79934
8,80232
8,80339
8,80818
8,80975
8,81774
8,82153
8,82834
8,83209
8,89140
8,89818
8,89825
8,89826
8,89827
8,89860
8,90029
8,90101
8,90108
8,98418
8,98419
8,98420
8,98421
8,98422
8,98423
8,98424
8,98425
8,98426
8,98451
8,98452
8,98576
8,99565
8,99566
8,99707
8,102137
8,102153
8,102155
8,102157
8,102159
8,102161
8,102173
8,102175
8,102177
8,102194
8,104690
8,107456
8,107458
8,108489
8,108711
8,108713
8,108715
8,114695
8,114696
8,114782
8,115032
8,115033
8,116466
8,116467
8,116468
8,116469
8,116470
8,116471
8,116472
8,116473
8,116474
8,116475
8,116476
8,116587
8,116588
8,116589
8,116590
8,117311
8,117315
8,117324
8,117325
8,117326
8,117331
8,117335
8,117336
8,117345
8,117346
8,117350
8,117351
8,117355
8,117367
8,117371
8,117471
